file_name,title,source,type,topic,can_commit,notes
神经网络基础_入门笔记_徐嘉泽.md,神经网络基础入门笔记,个人整理,markdown,神经网络基础;反向传播,yes,可提交，涵盖神经元模型、激活函数、前向传播、反向传播算法、训练流程
损失函数与优化器_对比与选择_徐嘉泽.md,损失函数与优化器对比与选择,个人整理,markdown,损失函数;优化器,yes,可提交，涵盖MSE、MAE、交叉熵、SGD、Momentum、AdaGrad、RMSProp、Adam、学习率调度
过拟合与正则化_方法详解_徐嘉泽.md,过拟合与正则化方法详解,个人整理,markdown,过拟合与正则化,yes,可提交，涵盖过拟合/欠拟合、L1/L2正则化、Dropout、Early Stopping、数据增强、Batch Normalization、偏差-方差分解
深度学习入门_神经网络结构_徐嘉泽.md,深度学习入门：神经网络结构与发展,个人整理,markdown,神经网络基础,yes,可提交，基于课程教材学习后重新组织，涵盖感知机、网络结构、激活函数、发展历程
反向传播与优化_原理详解_徐嘉泽.md,反向传播与优化原理详解,个人整理,markdown,反向传播;损失函数;优化器,yes,可提交，基于课程教材学习后重新组织，涵盖损失函数、梯度下降、反向传播、自动微分
模型正则化与泛化_实践指南_徐嘉泽.md,模型正则化与泛化实践指南,个人整理,markdown,过拟合与正则化,yes,可提交，基于课程教材学习后重新组织，涵盖过拟合/欠拟合、正则化方法、偏差-方差分解
